Entity,Code,Year,Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh
Other Europe (BP),,1996,0.014285500161349773,0,0.0005858590011484921,31.927509307861328
Other Europe (BP),,1997,0.012857000343501568,0,0.0005555559764616191,28.956453323364258
Other Europe (BP),,1998,0.014285500161349773,0,0.0005515150260180235,29.221755981445312
Other Europe (BP),,1999,0.011801999993622303,0,0.0005676770233549178,31.415348052978516
Other Europe (BP),,2000,0.011311000213027,0,0.0005282830097712576,28.054868698120117
Other Europe (BP),,2001,0.011120500043034554,0.00013600000238511711,0.0005090910126455128,27.221406936645508
Other Europe (BP),,2002,0.010448000393807888,0.00027200000477023423,0.0005585859762504697,27.186134338378906
Other Europe (BP),,2003,0.011019499972462654,0.00037200000951997936,0.003023232100531459,27.048603057861328
Other Europe (BP),,2004,0.026295000687241554,0.0004720000142697245,0.00758484797552228,31.32740020751953
Other Europe (BP),,2005,0.02709200046956539,0.0005719999899156392,0.01144646480679512,32.03152084350586
Other Europe (BP),,2006,0.030424434691667557,0.0005719999899156392,0.01613939367234707,29.92154312133789
Other Europe (BP),,2007,0.04245763644576073,0.0009720000089146197,0.016928283497691154,25.539573669433594
Other Europe (BP),,2008,0.03510449826717377,0.001171999960206449,0.014110101386904716,27.52406883239746
Other Europe (BP),,2009,0.03814180567860603,0.003118101041764021,0.01616666652262211,31.92673110961914
Other Europe (BP),,2010,0.03716207668185234,0.00592325022444129,0.015731312334537506,40.552032470703125
Other Europe (BP),,2011,0.042920999228954315,0.015168000012636185,0.015682827681303024,26.91305160522461
Other Europe (BP),,2012,0.054928287863731384,0.032551247626543045,0.011906061321496964,27.593107223510742
Other Europe (BP),,2013,0.06988316029310226,0.05284300073981285,0.023875758051872253,36.030982971191406
Other Europe (BP),,2014,0.068851038813591,0.1040307879447937,0.03702646493911743,32.570701599121094
Other Europe (BP),,2015,0.07071971893310547,0.1426948755979538,0.0585746243596077,32.30636978149414
Other Europe (BP),,2016,0.08334081619977951,0.1888168901205063,0.08961714804172516,35.684898376464844
Other Europe (BP),,2017,0.13393642008304596,0.22482913732528687,0.292936772108078,28.82712745666504
Other Europe (BP),,2018,0.1692255288362503,0.24792806804180145,0.5739744305610657,38.68258285522461
Other Europe (BP),,2019,0.20904938876628876,0.30204927921295166,1.6746611595153809,32.202091217041016
Other Europe (BP),,2020,0.2595060467720032,0.3674013018608093,1.7870631217956543,29.661935806274414
Other Europe (BP),,2021,0.3284425139427185,0.4258521497249603,2.005354404449463,39.450599670410156
Other Europe (BP),,1965,,,,9.408336639404297
